name	title	crs	westBound	eastBound	northBound	southBound	timeDimension
Agricultural_Lands_Croplands_2000	Croplands (Global Agricultural Lands, 2000)	EPSG:4326	-180	180	90	-90	None
Agricultural_Lands_Pastures_2000	Pastures (Global Agricultural Lands, 2000)	EPSG:4326	-180	180	90	-90	None
Anthropogenic_Biomes_of_the_World_2001-2006	Anthropogenic Biomes (Anthropogenic Biomes of the World, 2001-2006)	EPSG:4326	-180	180	90	-90	None
MODIS_Combined_L3_IGBP_Land_Cover_Type_Annual	Land Cover Type (L3, IGBP, Annual, Best Available, MODIS, Aqua+Terra)	EPSG:4326	-180	180	90	-90	2001-01-01/2018-01-01/P1Y
MODIS_Terra_L3_Land_Water_Mask	Land/Water Mask (L3, Annual, Best Available, MODIS, Terra)	EPSG:4326	-180	180	90	-90	2000-01-01/2015-01-01/P1Y
AIRS_L2_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Day	Carbon Monoxide (L2, 500hPa, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Night	Carbon Monoxide (L2, 500hPa, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Daily_Day	Carbon Monoxide Volume Mixing Ratio at 500hPa (L3, Daytime/Ascending, Daily, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-05-29/P1D
AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Daily_Night	Carbon Monoxide Volume Mixing Ratio at 500hPa (L3, Nighttime/Descending, Daily, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-05-29/P1D
AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Monthly_Day	Carbon Monoxide Volume Mixing Ratio at 500hPa (L3, Daytime/Ascending, Monthly, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-04-01/P1M
AIRS_L3_Carbon_Monoxide_500hPa_Volume_Mixing_Ratio_Monthly_Night	Carbon Monoxide Volume Mixing Ratio at 500hPa (L3, Nighttime/Descending, v6, Standard, Monthly, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-04-01/P1M
MERRA2_Carbon_Monoxide_Emission_Monthly	Carbon Monoxide Emission (Monthly, MERRA2)	EPSG:4326	-180	180	90	-90	1980-01-01/2023-04-01/P1M
MLS_CO_215hPa_Day	Carbon Monoxide (215 hPa, Day, MLS, Aura)	EPSG:4326	-180	180	90	-90	2013-05-09/2018-06-03/P1D,2018-06-12/2018-06-19/P1D,2018-06-26/2018-07-10/P1D,2018-07-18/2018-09-27/P1D,2018-09-30/2019-01-27/P1D,2019-01-31/2020-08-14/P1D,2020-08-16/2020-12-29/P1D,2021-01-03/2021-03-26/P1D,2021-03-28/2021-08-25/P1D,2022-01-01/2022-02-25/P1D,2022-02-27/2022-06-20/P1D,2022-06-23/2022-10-11/P1D,2022-10-13/2023-01-30/P1D,2023-02-02/2023-02-21/P1D,2023-03-03/2023-05-31/P1D
MLS_CO_215hPa_Night	Carbon Monoxide (215 hPa, Night, MLS, Aura)	EPSG:4326	-180	180	90	-90	2013-05-09/2018-06-03/P1D,2018-06-12/2018-06-19/P1D,2018-06-26/2018-07-10/P1D,2018-07-18/2018-09-27/P1D,2018-09-30/2019-01-27/P1D,2019-01-31/2020-08-14/P1D,2020-08-16/2020-12-29/P1D,2021-01-03/2021-03-26/P1D,2021-03-28/2021-08-25/P1D,2022-01-01/2022-02-25/P1D,2022-02-27/2022-06-20/P1D,2022-06-23/2022-10-11/P1D,2022-10-13/2023-01-30/P1D,2023-02-02/2023-02-21/P1D,2023-03-03/2023-05-31/P1D
MOPITT_CO_Daily_Surface_Mixing_Ratio_Day	Carbon Monoxide (Daily, Day, Surface Mixing Ratio, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2021-03-24/P1D
MOPITT_CO_Daily_Surface_Mixing_Ratio_Night	Carbon Monoxide (Daily, Night, Surface Mixing Ratio, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2021-03-24/P1D
MOPITT_CO_Daily_Total_Column_Day	Carbon Monoxide (Daily, Day, Total Column, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2021-03-24/P1D
MOPITT_CO_Daily_Total_Column_L2	Carbon Monoxide (L2, Daily, Total Column, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2017-08-18/2023-06-02/P1D
MOPITT_CO_Daily_Total_Column_Night	Carbon Monoxide (Daily, Night, Total Column, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2021-03-24/P1D
MOPITT_CO_Monthly_Surface_Mixing_Ratio_Day	Carbon Monoxide (Monthly, Day, Surface Mixing Ratio, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2000-03-31/P28D,2000-04-01/2021-03-01/P1M
MOPITT_CO_Monthly_Surface_Mixing_Ratio_Night	Carbon Monoxide (Monthly, Night, Surface Mixing Ratio, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2000-03-31/P28D,2000-04-01/2021-03-01/P1M
MOPITT_CO_Monthly_Total_Column_Day	Carbon Monoxide (Monthly, Day, Total Column, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2000-03-31/P28D,2000-04-01/2021-03-01/P1M
MOPITT_CO_Monthly_Total_Column_Night	Carbon Monoxide (Monthly, Night, Total Column, Best Available, MOPITT, Terra)	EPSG:4326	-180	180	90	-90	2000-03-03/2000-03-31/P28D,2000-04-01/2021-03-01/P1M
AIRS_L2_Cloud_Top_Height_Day	Cloud Top Height (L2, Day, Daily, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Cloud_Top_Height_Night	Cloud Top Height (L2, Night, Daily, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
MISR_Cloud_Stereo_Height_Histogram_Bin_0.5km_Monthly	Cloud Stereo Height (No Wind Correction, &amp;lt; 0.5 km, Monthly, MISR)	EPSG:4326	-180	180	90	-90	2000-02-01/2022-02-01/P1M
MISR_Cloud_Stereo_Height_Histogram_Bin_1.5-2.0km_Monthly	Cloud Stereo Height (No Wind Correction, 1.5 - 2.0 km, Monthly, MISR)	EPSG:4326	-180	180	90	-90	2000-02-01/2022-02-01/P1M
MODIS_Aqua_Cloud_Top_Height_Day	Cloud Top Height (Day, MODIS, Aqua)	EPSG:4326	-180	180	90	-90	2002-07-03/2023-06-02/P1D
MODIS_Aqua_Cloud_Top_Height_Night	Cloud Top Height (Night, MODIS, Aqua)	EPSG:4326	-180	180	90	-90	2002-07-03/2023-06-02/P1D
MODIS_Terra_Cloud_Top_Height_Day	Cloud Top Height (Day, MODIS, Terra)	EPSG:4326	-180	180	90	-90	2000-02-24/2023-06-02/P1D
MODIS_Terra_Cloud_Top_Height_Night	Cloud Top Height (Night, MODIS, Terra)	EPSG:4326	-180	180	90	-90	2000-02-24/2023-06-02/P1D
VIIRS_NOAA20_Cloud_Top_Height_Day	Cloud Top Height (Day, Best Available, VIIRS, NOAA20)	EPSG:4326	-180	180	90	-90	2018-02-17/2018-02-21/P1D,2018-02-24/2018-03-12/P1D,2018-03-14/2019-03-05/P1D,2019-03-07/2023-05-31/P1D
VIIRS_NOAA20_Cloud_Top_Height_Night	Cloud Top Height (Night, Best Available, VIIRS, NOAA20)	EPSG:4326	-180	180	90	-90	2018-02-17/2018-02-21/P1D,2018-02-25/2018-03-12/P1D,2018-03-14/2019-03-05/P1D,2019-03-07/2023-05-31/P1D
VIIRS_SNPP_Cloud_Top_Height_Day	Cloud Top Height (Day, Best Available, VIIRS, SNPP)	EPSG:4326	-180	180	90	-90	2012-03-01/2012-03-23/P1D,2012-03-27/2012-06-21/P1D,2012-06-23/2022-07-26/P1D,2022-08-18/2022-08-18/P1D,2022-08-21/2023-05-31/P1D
VIIRS_SNPP_Cloud_Top_Height_Night	Cloud Top Height (Night, Best Available, VIIRS, SNPP)	EPSG:4326	-180	180	90	-90	2012-03-01/2012-03-23/P1D,2012-03-27/2012-06-21/P1D,2012-06-23/2022-07-26/P1D,2022-08-21/2023-04-14/P1D,2023-04-16/2023-05-31/P1D
AIRS_L2_Dust_Score_Day	Dust Score (L2, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Dust_Score_Night	Dust Score (L2, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
MERRA2_Dust_Surface_Mass_Concentration_Monthly	Dust Surface Mass Concentration (Monthly, MERRA2)	EPSG:4326	-180	180	90	-90	1980-01-01/2023-04-01/P1M
MERRA2_Dust_Surface_Mass_Concentration_PM25_Monthly	Dust Surface Mass Concentration (Monthly, Particulate Matter 2.5 µm, v5.12.4, Standard, MERRA2)	EPSG:4326	-180	180	90	-90	1980-01-01/2023-04-01/P1M
MERRA2_Total_Dust_Deposition_Dry_Wet_Monthly	Total Dust Deposition, Dry+Wet All Bins (Monthly, MERRA2)	EPSG:4326	-180	180	90	-90	1980-01-01/2023-04-01/P1M
AIRS_L2_Methane_400hPa_Volume_Mixing_Ratio_Day	Methane (L2, 400 hPa, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Methane_400hPa_Volume_Mixing_Ratio_Night	Methane (L2, 400 hPa, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Daily_Day	Methane Volume Mixing Ratio at 400hPa (L3, Daytime/Ascending, Daily, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-05-29/P1D
AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Daily_Night	Methane Volume Mixing Ratio at 400hPa (L3, Nighttime/Descending, Daily, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-05-29/P1D
AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Monthly_Day	Methane Volume Mixing Ratio at 400hPa (L3, Daytime/Ascending, Monthly, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-04-01/P1M
AIRS_L3_Methane_400hPa_Volume_Mixing_Ratio_Monthly_Night	Methane Volume Mixing Ratio at 400hPa (L3, Nighttime/Descending, Monthly, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-04-01/P1M
AIRS_L2_RelativeHumidity_500hPa_Day	Relative Humidity (L2, 500hPa, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_RelativeHumidity_500hPa_Night	Relative Humidity (L2, 500hPa, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_RelativeHumidity_700hPa_Day	Relative Humidity (L2, 700hPa, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_RelativeHumidity_700hPa_Night	Relative Humidity (L2, 700hPa, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_RelativeHumidity_850hPa_Day	Relative Humidity (L2, 850hPa, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_RelativeHumidity_850hPa_Night	Relative Humidity (L2, 850hPa, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Surface_Relative_Humidity_Day	Surface Relative Humidity (L2, Day, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Surface_Relative_Humidity_Night	Surface Relative Humidity (L2, Night, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L3_Surface_Relative_Humidity_Daily_Day	Relative Humidity at Surface (L3, Daytime/Ascending, Daily, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-05-29/P1D
AIRS_L3_Surface_Relative_Humidity_Daily_Night	Relative Humidity at Surface (L3, Nighttime/Descending, Daily, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-05-29/P1D
AIRS_L3_Surface_Relative_Humidity_Monthly_Day	Relative Humidity at Surface (L3, Daytime/Ascending, v6, Standard, Monthly, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-04-01/P1M
AIRS_L3_Surface_Relative_Humidity_Monthly_Night	Relative Humidity at Surface (L3, Nighttime/Descending, v6, Standard, Monthly, AIRS+AMSU, Aqua)	EPSG:4326	-180	180	90	-90	2002-09-01/2023-04-01/P1M
MERRA2_Relative_Humidity_After_Moist_700hPa_Monthly	Relative Humidity After Moist at 700hPa (Monthly, MERRA2)	EPSG:4326	-180	180	90	-90	1980-01-01/2023-04-01/P1M
AIRS_L2_Sulfur_Dioxide_Brightness_Temperature_Difference_Day	Sulfur Dioxide Brightness Temperature Difference (L2, Day, Daily, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_L2_Sulfur_Dioxide_Brightness_Temperature_Difference_Night	Sulfur Dioxide Brightness Temperature Difference (L2, Night, Daily, v6, Near Real-Time, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2002-08-30/2023-05-16/P1D
AIRS_Prata_SO2_Index_Day	Sulfur Dioxide (Prata, Day, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2012-05-08/2023-05-16/P1D
AIRS_Prata_SO2_Index_Night	Sulfur Dioxide (Prata, Night, AIRS, Aqua)	EPSG:4326	-180	180	90	-90	2012-05-08/2023-05-16/P1D
MERRA2_SO2_Column_Mass_Density_Monthly	SO2 Column Mass Density ENSEMBLE (Monthly, MERRA2)	EPSG:4326	-180	180	90	-90	1980-01-01/2023-04-01/P1M
MLS_SO2_147hPa_Day	Sulfur Dioxide (147 hPa, Day, MLS, Aura)	EPSG:4326	-180	180	90	-90	2013-05-09/2018-06-03/P1D,2018-06-12/2018-06-19/P1D,2018-06-26/2018-07-10/P1D,2018-07-18/2018-09-27/P1D,2018-09-30/2019-01-27/P1D,2019-01-31/2020-08-14/P1D,2020-08-16/2020-12-29/P1D,2021-01-03/2021-03-26/P1D,2021-03-28/2021-08-25/P1D,2022-01-01/2022-02-25/P1D,2022-02-27/2022-06-20/P1D,2022-06-23/2022-10-11/P1D,2022-10-13/2023-01-30/P1D,2023-02-02/2023-02-21/P1D,2023-03-03/2023-05-31/P1D
MLS_SO2_147hPa_Night	Sulfur Dioxide (147 hPa, Night, MLS, Aura)	EPSG:4326	-180	180	90	-90	2013-05-09/2018-06-03/P1D,2018-06-12/2018-06-19/P1D,2018-06-26/2018-07-10/P1D,2018-07-18/2018-09-27/P1D,2018-09-30/2019-01-27/P1D,2019-01-31/2020-08-14/P1D,2020-08-16/2020-12-29/P1D,2021-01-03/2021-03-26/P1D,2021-03-28/2021-08-25/P1D,2022-01-01/2022-02-25/P1D,2022-02-27/2022-06-20/P1D,2022-06-23/2022-10-11/P1D,2022-10-13/2023-01-30/P1D,2023-02-02/2023-02-21/P1D,2023-03-03/2023-05-31/P1D
